video_uri,label,instance_id,time_offset,x_relative_min,y_relative_min, x_relative_max,y_relative_min,x_relative_max,y_relative_max,x_relative_min,y_relative_max
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 0.330000, 0.605469, 0.334286, , , 0.669922, 0.394286, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 0.670000, 0.605470, 0.334283, , , 0.669920, 0.394284, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 1.000000, 0.605471, 0.334284, , , 0.669920, 0.394284, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 1.330000, 0.605472, 0.334286, , , 0.669918, 0.394281, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 1.670000, 0.605472, 0.334287, , , 0.669919, 0.394283, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 2.000000, 0.605471, 0.334286, , , 0.669920, 0.394285, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 2.330000, 0.605469, 0.334285, , , 0.669921, 0.394284, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 2.670000, 0.605468, 0.334283, , , 0.669920, 0.394283, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 3.000000, 0.605458, 0.334270, , , 0.669929, 0.394297, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 3.330000, 0.605458, 0.334270, , , 0.669929, 0.394297, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 3.670000, 0.605460, 0.334272, , , 0.669926, 0.394294, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 4.000000, 0.605468, 0.334283, , , 0.669912, 0.394280, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 4.330000, 0.605467, 0.334281, , , 0.669913, 0.394279, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 4.670000, 0.605468, 0.334283, , , 0.669910, 0.394278, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 5.000000, 0.604715, 0.334302, , , 0.669117, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 5.330000, 0.604715, 0.334302, , , 0.669117, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 5.670000, 0.604716, 0.334302, , , 0.669117, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 6.000000, 0.604715, 0.334295, , , 0.669121, 0.394268, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 6.330000, 0.604715, 0.334297, , , 0.669124, 0.394270, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 6.670000, 0.604716, 0.334301, , , 0.669124, 0.394268, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 7.000000, 0.604726, 0.334310, , , 0.669124, 0.394266, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 7.330000, 0.604726, 0.334310, , , 0.669124, 0.394266, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 7.670000, 0.604727, 0.334311, , , 0.669123, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 8.000000, 0.604727, 0.334312, , , 0.669117, 0.394263, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 8.330000, 0.604730, 0.334311, , , 0.669117, 0.394262, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 8.670000, 0.604728, 0.334307, , , 0.669118, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 9.000000, 0.604728, 0.334310, , , 0.669123, 0.394266, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 9.330000, 0.604728, 0.334310, , , 0.669123, 0.394266, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 9.670000, 0.604728, 0.334310, , , 0.669123, 0.394265, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 10.000000, 0.604731, 0.334321, , , 0.669117, 0.394262, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 10.330000, 0.604732, 0.334321, , , 0.669117, 0.394264, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 10.670000, 0.604731, 0.334319, , , 0.669118, 0.394263, , 
./videos/cut_2021-05-01-608cbadadd7281000939e28c-230BD2E55047-compressed_tracking.mp4, bowl, 1, 11.000000, 0.604732, 0.334313, , , 0.669115, 0.394260, , 
